0821_ctrl_tracking_B.csv
t,set_x,set_y,set_z,set_ry,uav_x,uav_y,uav_z,uav_ry,e_x,e_y,e_z,e_ry,
3492.86,1,1,1,-nan,0.993606,0.989926,0.993033,-0.000395104,0.00639367,0.0100744,0.00696683,-nan,
3492.88,1,1,1,-nan,0.99398,0.991704,0.990447,-0.000508483,0.00602001,0.00829589,0.00955296,-nan,
3492.9,1,1,1,-nan,0.99398,0.991704,0.990447,-0.000508483,0.00602001,0.00829589,0.00955296,-nan,
3492.92,1,1,1,-nan,0.994129,0.993366,0.988348,-0.000565775,0.00587118,0.00663447,0.0116518,-nan,
3492.94,1,1,1,-nan,0.994031,0.994142,0.987487,-0.000529784,0.00596917,0.00585783,0.0125133,-nan,
3492.96,1,1,1,-nan,0.994031,0.994142,0.987487,-0.000529784,0.00596917,0.00585783,0.0125133,-nan,
3492.98,1,1,1,-nan,0.993998,0.994911,0.986698,-0.000482715,0.00600189,0.00508898,0.0133024,-nan,
3493,1,1,1,-nan,0.993998,0.994911,0.986698,-0.000482715,0.00600189,0.00508898,0.0133024,-nan,
3493.02,1,1,1,-nan,0.993703,0.995371,0.986455,-0.00037605,0.00629658,0.00462937,0.0135449,-nan,
3493.04,1,1,1,-nan,0.993703,0.995371,0.986455,-0.00037605,0.00629658,0.00462937,0.0135449,-nan,
3493.06,1,1,1,-nan,0.993294,0.995334,0.987096,-0.000357261,0.00670558,0.00466567,0.0129044,-nan,
3493.08,1,1,1,-nan,0.992948,0.995338,0.987395,-0.000317705,0.00705236,0.0046621,0.0126054,-nan,
3493.1,1,1,1,-nan,0.992948,0.995338,0.987395,-0.000317705,0.00705236,0.0046621,0.0126054,-nan,
3493.12,1,1,1,-nan,0.992267,0.994811,0.988705,-0.000318806,0.00773281,0.0051893,0.0112947,-nan,
3493.14,1,1,1,-nan,0.992267,0.994811,0.988705,-0.000318806,0.00773281,0.0051893,0.0112947,-nan,
3493.16,1,1,1,-nan,0.991608,0.994061,0.990097,-0.000282738,0.00839156,0.00593936,0.00990278,-nan,
3493.18,1,1,1,-nan,0.991017,0.993404,0.991089,-0.000208432,0.00898278,0.00659579,0.00891054,-nan,
3493.2,1,1,1,-nan,0.991017,0.993404,0.991089,-0.000208432,0.00898278,0.00659579,0.00891054,-nan,
3493.22,1,1,1,-nan,0.99004,0.992066,0.992946,-0.000189786,0.00996023,0.00793386,0.00705427,-nan,
3493.24,1,1,1,-nan,0.99004,0.992066,0.992946,-0.000189786,0.00996023,0.00793386,0.00705427,-nan,
3493.26,1,1,1,-nan,0.989595,0.991813,0.993514,-0.000184729,0.0104051,0.00818735,0.00648594,-nan,
3493.28,1,1,1,-nan,0.989999,0.993686,0.991557,-0.000154823,0.0100015,0.0063141,0.00844342,-nan,
3493.3,1,1,1,-nan,0.989999,0.993686,0.991557,-0.000154823,0.0100015,0.0063141,0.00844342,-nan,
3493.32,1,1,1,-nan,0.990225,0.99547,0.98976,-0.000277431,0.0097751,0.00452995,0.0102404,-nan,
3493.34,1,1,1,-nan,0.990225,0.99547,0.98976,-0.000277431,0.0097751,0.00452995,0.0102404,-nan,
3493.36,1,1,1,-nan,0.99021,0.996302,0.989343,-0.000342021,0.00979036,0.00369763,0.0106571,-nan,
3493.38,1,1,1,-nan,0.99026,0.997151,0.988757,-0.00023403,0.00973982,0.00284892,0.0112425,-nan,
3493.4,1,1,1,-nan,0.99026,0.997151,0.988757,-0.00023403,0.00973982,0.00284892,0.0112425,-nan,
3493.42,1,1,1,-nan,0.990124,0.997721,0.989098,-0.000246199,0.00987619,0.0022791,0.0109025,-nan,
3493.44,1,1,1,-nan,0.990124,0.997721,0.989098,-0.000246199,0.00987619,0.0022791,0.0109025,-nan,
3493.46,1,1,1,-nan,0.989892,0.99772,0.989565,-0.000265506,0.0101082,0.00228041,0.0104352,-nan,
3493.48,1,1,1,-nan,0.989718,0.997754,0.989885,-0.000193496,0.0102823,0.00224626,0.0101148,-nan,
3493.5,1,1,1,-nan,0.989718,0.997754,0.989885,-0.000193496,0.0102823,0.00224626,0.0101148,-nan,
3493.52,1,1,1,-nan,0.989279,0.997257,0.990921,-0.000157923,0.0107206,0.00274307,0.00907898,-nan,
3493.54,1,1,1,-nan,0.989279,0.997257,0.990921,-0.000157923,0.0107206,0.00274307,0.00907898,-nan,
